name,is_potentially_hazardous_asteroid,estimated_diameter.kilometers.estimated_diameter_min,estimated_diameter.kilometers.estimated_diameter_max,orbital_data.semi_major_axis,orbital_data.eccentricity,orbital_data.inclination,orbital_data.orbital_period,orbital_data.orbit_class.orbit_class_type,miss_distance_km,velocity_kph
(2026 AG1),False,0.0113176166,0.02530696,1.122311660983438,.3679484132923435,5.974502319719009,434.2788107438448,APO,10583441.620992273,48637.4331878226
(2026 AH1),False,0.0587428451,0.1313529947,1.198672280706618,.1577891599801016,9.554942800501831,479.3460141117627,APO,14246803.70117787,26550.9171790914
(2026 AJ1),False,0.0112293593,0.0251096107,1.571421626206037,.3245651644030824,2.178312069053805,719.5111284378859,AMO,11452800.261475606,11809.6688996595
(2026 AK1),False,0.0280643493,0.0627537927,1.978822286850577,.4655983510143498,8.9377965167543,1016.736972399009,AMO,12477596.489372045,26570.8425350914
(2026 AL1),False,0.0665510599,0.148812694,1.769306591624663,.390807257731864,13.80639034213504,859.6131887739894,AMO,19785552.57968622,29772.3180319872
(2026 AM1),False,0.0669198527,0.1496373398,1.354609241982039,.289612597702461,13.56246447363323,575.8634016762162,APO,27350944.733061805,31030.2141731776
(2026 AN1),False,0.0471796784,0.1054969682,2.551091971269459,.5870765441478255,5.033631468978901,1488.290127203819,AMO,16727610.35670939,23582.4621679614
(2026 AO1),False,0.1839733754,0.4113769735,2.834280038038061,.5787845918007078,9.257322441384392,1742.860246040878,AMO,,
(2025 YU11),False,0.0076164918,0.0170309933,1.030610306023515,.0825596721115105,.9615059732813139,382.1555300109187,APO,,
(2026 AP1),False,0.1555804333,0.3478884248,2.210372342702974,.7481141155995881,5.642629589557596,1200.318731801056,APO,10481706.826549636,84408.4182161412
(2026 AQ1),False,0.1031228665,0.2305897395,2.638371416601518,.6476608129628122,9.582344160206455,1565.317089850308,APO,150598344.172358,16193.5192278121
(2026 AR1),False,0.0158618916,0.0354682678,1.926046430932298,.6224974199456956,4.009860418780157,976.3343191119654,APO,1129966.552383413,60806.8022001102
(2026 AS1),False,0.0144728805,0.0323623447,1.51406307187201,.3799972749128334,1.228850874589425,680.4784521845116,APO,10187068.600618973,38512.1849358823
(2025 YQ12),False,0.0226024219,0.0505405517,1.092984406860138,.1431781029157528,1.752863324381703,417.3682189078449,APO,26372707.28177356,12738.7236738994
(2025 YR12),False,0.076270216,0.1705453877,1.946378124793801,.5909264742134384,6.427895378483747,991.8345880606375,APO,12865487.83410889,55109.5562179573
(2025 YS12),False,0.1373266977,0.3070718311,1.915251585180072,.3725856731287879,36.89267903122082,968.1377899712642,AMO,,
(2026 AT1),False,0.0450354987,0.1007024366,1.870299883488449,.4103973146465676,10.82751561079418,934.2547123168189,AMO,25203757.55899918,26874.2075246258
(2026 AU1),False,0.0170276603,0.0380750059,2.149982996847621,.6731554879416658,10.36748328326392,1151.465591713941,APO,13384064.945959482,65420.7296912896
(2026 AV1),False,0.014857816,0.0332230866,1.487192504634976,.4041400357080306,32.62036013074122,662.4440578313444,APO,5865112.384569063,71413.650005864
(2026 AW1),False,0.0030588274,0.0068397461,1.335958705633249,.3174403400838252,.2171904149893384,564.0115249301135,APO,25415795.03677339,43111.1644846506
(2026 AX1),False,0.0252321918,0.056420896,.9717769846722959,.2984146547563936,24.07939671572003,349.9035434351718,ATE,15676618.000917891,48960.9577539162
(2026 AY1),False,0.0084130792,0.018812217,.9616050189844473,.1055647076991011,8.856447532755613,344.4240815592081,ATE,13643684.599370556,21434.9982670142
(2026 AZ1),False,0.1309046207,0.2927116304,1.671965878457259,.6427988224514509,10.14003357736826,789.6589136010086,APO,12361936.825994067,72671.3682579814
(2026 AA2),False,0.0327457526,0.0732217288,1.483231972468272,.372740343171507,2.515555202445801,659.7995950546565,APO,5846108.98210275,23148.7322692445
(2026 AB2),False,0.0126518775,0.028290458,1.528049493364278,.5104026791814489,25.57426828398629,689.9292518547595,APO,3233899.865981885,68785.6331399983
(2026 AC2),False,0.0217047594,0.0485333175,1.456450527456931,.3311001018670313,12.19749368466059,642.0103545920631,APO,5997537.915071763,33078.3199590344
(2026 AD2),False,0.0150714479,0.033700782,.9487645552754629,.1576168359431296,.8168027209363875,337.5484392613492,ATE,19633291.299128316,31924.4014932675
(2026 AE2),False,0.108881721,0.2434669296,1.706312945827256,.6893018740817671,36.10473524977207,814.1163101359974,APO,6950098.896585966,101779.603392393
(2026 AF2),False,0.0117153421,0.0261963014,.8611936391223702,.2276558797709493,12.79213855646004,291.9104530705333,ATE,27019389.20852594,45742.4144410126
(2026 AG2),False,0.0257724067,0.0576288534,.9236912290120771,.3789861390856681,2.684490266843265,324.2564745143197,ATE,1793375.764969842,41412.6910973243
(2026 AJ2),False,0.0200980988,0.0449407151,1.333295189300349,.2473338887820922,19.8737683254761,562.3256514581011,APO,6071356.954103689,41287.2140139347
(2026 AK2),False,0.0526205007,0.1176630167,2.196835316975888,.6261701425626989,10.00816444084311,1189.308929292968,APO,9125719.00085568,50139.1496371669
(2026 AL2),False,0.0172804472,0.0386402546,1.963857867822368,.6074336793374805,6.076978171499483,1005.225521603264,APO,19028953.752589427,49749.5148040368
(2026 AM2),False,0.006835259,0.0152841038,1.724171344913974,.4621648067293468,10.81839044681541,826.9305969170257,APO,547810.510340477,37851.9757165163
(2026 AQ2),False,0.0149814889,0.0334996276,1.380345100601154,.313995450313195,14.03063056157639,592.3521157894652,APO,2298218.027099569,36001.9289615353
(2026 AR2),False,0.0847139586,0.1894261702,1.369009127445481,.1862718014536928,32.67923065676792,585.070151608933,AMO,,
